City_name,Package,Variety,Price,Origin,Size,Color
BOSTON,24_inch_bins,PIE_TYPE,175,VERMONT,sml,ORANGE
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,WHITE
BOSTON,24_inch_bins,PIE_TYPE,180,CANADA,sml,ORANGE
COLUMBIA,bushel_cartons,MINIATURE,28,PENNSYLVANIA,sml,ORANGE
COLUMBIA,24_inch_bins,MIXED_HEIRLOOM_VARIETIES,200,NORTH_CAROLINA,med,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,jbo,ORANGE
DALLAS,24_inch_bins,HOWDEN_TYPE,120,TEXAS,med,MountbattenPink
COLUMBIA,24_inch_bins,FAIRYTALE,170,NORTH_CAROLINA,med,MountbattenPink
BALTIMORE,1_1/9_bushel_cartons,PIE_TYPE,17,OHIO,med,MountbattenPink
COLUMBIA,1/2_bushel_cartons,MINIATURE,15,PENNSYLVANIA,unknown,STRIPED
BALTIMORE,24_inch_bins,CINDERELLA,180,MARYLAND,xlge,MountbattenPink
BOSTON,bushel_cartons,PIE_TYPE,24,MASSACHUSETTS,med-lge,MountbattenPink
COLUMBIA,36_inch_bins,PIE_TYPE,200,PENNSYLVANIA,med,ORANGE
COLUMBIA,36_inch_bins,HOWDEN_TYPE,150,MICHIGAN,lge,ORANGE
DALLAS,24_inch_bins,CINDERELLA,160,TEXAS,jbo,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,225,MASSACHUSETTS,med,ORANGE
DALLAS,24_inch_bins,CINDERELLA,150,TEXAS,jbo,MountbattenPink
DALLAS,24_inch_bins,MIXED_HEIRLOOM_VARIETIES,150,TEXAS,med,MountbattenPink
CHICAGO,36_inch_bins,MIXED_HEIRLOOM_VARIETIES,225,ILLINOIS,lge,MountbattenPink
BOSTON,36_inch_bins,HOWDEN_TYPE,200,MICHIGAN,lge,MountbattenPink
BOSTON,24_inch_bins,CINDERELLA,285,MASSACHUSETTS,xlge,ORANGE
COLUMBIA,24_inch_bins,HOWDEN_WHITE_TYPE,200,VIRGINIA,sml,MountbattenPink
BOSTON,24_inch_bins,PIE_TYPE,200,MICHIGAN,sml,ORANGE
CHICAGO,24_inch_bins,PIE_TYPE,220,ILLINOIS,med,MountbattenPink
BALTIMORE,1/2_bushel_cartons,MINIATURE,17,OHIO,sml,MountbattenPink
BOSTON,24_inch_bins,CINDERELLA,285,MASSACHUSETTS,xlge,WHITE
